"key","KZ","RU","EN"
"KZ","Қазақша","Казахский","Kazakh"
"RU","Русский","Русский","Russian"
"EN","Английский","Английский","English"
"enter","Кіру","Войти","Login"
"login","Логин","Логин","Login"
"password","Құпия сөз","Пароль","Password"
"add","Қосу","Добавить","Add"
"edit","Өңдеу","Редактировать","Edit"
"delete","Жою","Удалить","Delete"
"logout","Шығу","Выйти","Logout"
"save","Сақтау","Сохранить","Save"
"cancel","Болдырмау","Отменить","Cancel"
"search","Іздеу","Поиск","Search"
"users","Пайдаланушылар","Пользователи","Users"
"users_create","Пайдаланушы қосу","Добавить пользователя","Add user"
"users_edit","Пайдаланушы өңдеу","Редактировать пользователя","Edit user"
"partners","Серіктестер","Партнеры","Partners"
"partners_create","Серіктес қосу","Добавить партнера","Add partner"
"partners_edit","Серіктес өңдеу","Редактировать партнера","Edit partner"
"enterprise","Үйім","Предприятие","Enterprise"
"enterprise_create","Үй қосу","Добавить предприятие","Add enterprise"
"enterprise_edit","Үй өңдеу","Редактировать предприятие","Edit enterprise"
"mission","Миссия","Миссия","Mission"
"mission_create","Миссия қосу","Добавить миссию","Add mission"
"mission_edit","Миссия өңдеу","Редактировать миссию","Edit mission"
"employees","Қызметкерлер","Сотрудники","Employees"
"employees_create","Қызметкер қосу","Добавить сотрудника","Add employee"
"employees_edit","Қызметкер өңдеу","Редактировать сотрудника","Edit employee"
"npa","НПА","НПА","NPA"
"npa_create","НПА қосу","Добавить НПА","Add NPA"
"npa_edit","НПА өңдеу","Редактировать НПА","Edit NPA"
"contacts","Байланыс","Контакты","Contacts"
"contacts_create","Байланыс қосу","Добавить контакт","Add contact"
"contacts_edit","Байланыс өңдеу","Редактировать контакт","Edit contact"
"news","Жаңалықтар","Новости","News"
"news_create","Жаңалық қосу","Добавить новость","Add news"
"news_edit","Жаңалық өңдеу","Редактировать новость","Edit news"
"events","Оқиғалар","События","Events"
"events_create","Оқиға қосу","Добавить событие","Add event"
"events_edit","Оқиға өңдеу","Редактировать событие","Edit event"
"documents","Құжаттар","Документы","Documents"
"documents_create","Құжат қосу","Добавить документ","Add document"
"documents_edit","Құжат өңдеу","Редактировать документ","Edit document"
"main","Басты","Главная","Main"
"enter_login","Логинді енгізіңіз","Введите логин","Enter login"
"please_enter_login","Логинді енгізіңіз","Введите логин","Enter login"
"enter_password","Құпия сөзді енгізіңіз","Введите пароль","Enter password"
"please_enter_password","Құпия сөзді енгізіңіз","Введите пароль","Enter password"
"settings","Параметрлер","Настройки","Settings"
"first_name","Аты","Имя","First name"
"last_name","Тегі","Фамилия","Last name"
"login","Логин","Логин","Login"
"role","Рөл","Роль","Role"
"disabled","Қызметін бұзу","Отключен","Disabled"
"created_at","Жасалған уақыт","Создано","Created at"
"updated_at","Жаңартылған уақыт","Обновлено","Updated at"
"yes","Ия","Да","Yes"
"no","Жоқ","Нет","No"
"action","Әрекет","Действие","Action"
"enter_first_name","Атын енгізіңіз","Введите имя","Enter first name"
"please_enter_first_name","Атын енгізіңіз","Введите имя","Enter first name"
"enter_last_name","Тегін енгізіңіз","Введите фамилию","Enter last name"
"please_enter_last_name","Тегін енгізіңіз","Введите фамилию","Enter last name"
"enter_role","Рөлді енгізіңіз","Введите роль","Enter role"
"please_enter_role","Рөлді енгізіңіз","Введите роль","Enter role"
"general_information","Жалпы ақпарат","Общая информация","General information"
"user_module","Пайдаланушылар модулі","Модуль пользователей","User module"
"user_updated_successfully","Пайдаланушы сәтті жаңартылды","Пользователь успешно обновлен","User updated successfully"
"user_created_successfully","Пайдаланушы сәтті қосылды","Пользователь успешно добавлен","User created successfully"
"user_password_updated_successfully","Пайдаланушының құпия сөзі сәтті жаңартылды","Пароль пользователя успешно обновлен","User password updated successfully"
"user_deleted_successfully","Пайдаланушы сәтті жойылды","Пользователь успешно удален","User deleted successfully"
"user_recovered_successfully","Пайдаланушы сәтті қалпына келтірілді","Пользователь успешно восстановлен","User recovered successfully"
